,Latitude,Longitude
5308573,40.694173139,-73.95973531199999
5308612,40.849863253,-73.93607763600001
5308647,40.806897998000004,-73.915557992
5308652,40.83406831,-73.94294804
5308693,40.843318195,-73.85099422100001
5308876,40.725085661,-73.988680139
5309001,40.575442769,-73.987794763
5309008,40.664463748,-73.745517566
5309053,40.678180344,-73.80499208
5309099,40.694819367,-73.963348307
5309119,40.830641297,-73.874879189
5309155,40.79897024,-73.94032704600001
5309179,40.656509938,-73.846437802
5309500,40.841944334000004,-73.914248556
5309573,40.655639713,-73.91153990699999
5309587,40.729973271,-73.89788568899999
5309633,40.716459051,-73.942994597
5309701,40.746221313,-73.977214507
5309948,40.823273246,-73.919732064
5309949,40.823273246,-73.919732064
5309964,40.755825694,-73.967837415
5310080,40.795883789,-73.948889419
5310163,40.774613608,-73.914414686
5310196,40.686719153,-73.923469723
5310226,40.68622697,-73.78004222
5310271,40.838861771,-73.910306061
5310278,40.622676414000004,-73.95093845699999
5310283,40.818789441999996,-73.888077695
5310363,40.63608841,-73.960545002
5310376,40.724732143000004,-73.893333469
5310642,40.755972317,-73.859498648
5310657,40.662360243,-73.95708364
5310825,40.861377184,-73.90095931
5310893,40.85556779,-73.866662642
5311002,40.879941881,-73.921855076
5311005,40.803555900999996,-73.965231728
5311207,40.889266368,-73.911525608
5311257,40.766491796,-73.726088212
5311263,40.882367122,-73.916416857
5311272,40.68033866,-73.788422565
5311276,40.683883337,-73.91878572
5311281,40.614185278,-73.941857313
5311295,40.68233465,-73.951835604
5311308,40.762334218,-73.826917308
5311330,40.699354926,-73.73794431
5311336,40.713294397,-73.99126126899999
5311339,40.859025357,-73.904671882
5311423,40.867856464,-73.864855531
5311455,40.675299837,-73.979639744
5311588,40.766491796,-73.726088212
5311733,40.752030049,-73.782936147
5311853,40.674287076999995,-73.809206976
5311969,40.595285149,-73.98994801399999
5311987,40.684673782,-73.941276646
5312049,40.586287002,-74.08847911699999
5312150,40.768953598,-73.925776003
5312191,40.689335504,-73.80040883
5312206,40.853819884,-73.893524083
5312213,40.682074981,-73.98676571600001
5312353,40.699755759,-73.926058608
5312383,40.658611551,-73.95186354399999
5312387,40.681825307,-73.732547279
5312404,40.82371808,-73.892932719
5312543,40.75585293,-73.860635887
5312564,40.68680422,-73.97158101
5312569,40.634100273,-73.957973713
5312576,40.897808873,-73.871710698
5312581,40.806493351,-73.967256652
5312594,40.578819306999996,-73.855558613
5312702,40.862255241999996,-73.926297313
5312729,40.706024967,-73.730906479
5312760,40.672234333,-73.982102861
5312764,40.741726431,-73.983137939
5312811,40.672234333,-73.982102861
5312930,40.603000844,-73.973230022
5313167,40.601363195,-74.086179971
5313353,40.678500096,-73.921680114
5313378,40.699041199,-73.95654792100001
5313387,40.613838116,-73.92532175699999
5313395,40.883355984,-73.882623959
5313414,40.725127576999995,-73.757635507
5313416,40.886860911,-73.862683108
5313520,40.657706478,-73.92711438100001
5313543,40.731936710999996,-73.783492314
5313595,40.729433913,-73.999900423
5313654,40.673890125,-73.886893257
5313735,40.897546166,-73.853892999
